method,selectivity,mask_seed,query,parameter,level_name,recall,distance_computations,portal_computations,payload_computations,adjacency_reads,visited_cells,summary_checks_query,child_reads_query,latency_ms,valid_count,materialization_ms,materialization_summary_checks,copies_used_mean,active_degree_mean,postfilter_candidate_pool_lower_bound
adaptive_deg,0.001,0,6,32,L3,0.5,273.0,219.0,54,371.0,219.0,0,0,1.1198799999760922,1040,11.918987999990804,20455,1.80635838150289,10.984104046242775,
router1hop,0.001,0,6,32,L3,0.5,369.0,333.0,36,447.0,333.0,0,0,1.230076000013014,1040,14.262445000014168,31076,1.0,16.53034682080925,
lazy_qcap,0.001,0,6,32,L3,0.8,4237.0,4177.0,60,11335.0,162.0,11335,0,4.689898999998832,1040,3.365610999992441,11439,1.0,6.199421965317919,
witness_c1,0.001,0,6,32,L3,0.8,507.0,448.0,59,377.0,156.0,842,842,2.323457000017015,1040,4.13057899999103,13945,1.0,6.199421965317919,
active_c1,0.001,0,6,64,L3,1.0,354.0,248.0,106,467.0,248.0,0,0,2.122764999995752,1040,3.365610999992441,11439,1.0,6.199421965317919,
active_c2,0.001,0,6,64,L3,0.9,415.0,305.0,110,837.0,305.0,0,0,2.0640470000046207,1040,3.387954000004356,22531,2.0,12.367052023121387,
active_c4,0.001,0,6,64,L3,0.9,446.0,336.0,110,1610.0,336.0,0,0,1.9202120000159084,1040,3.6619360000145207,42967,4.0,23.393063583815028,
active_c8,0.001,0,6,64,L3,0.9,457.0,347.0,110,3087.0,347.0,0,0,1.6689839999912692,1040,4.203118000020822,78317,8.0,42.947976878612714,
adaptive_deg,0.001,0,6,64,L3,1.0,407.0,296.0,111,736.0,296.0,0,0,2.0030569999960335,1040,11.918987999990804,20455,1.80635838150289,10.984104046242775,
router1hop,0.001,0,6,64,L3,0.6,561.0,502.0,59,794.0,502.0,0,0,2.2422649999782607,1040,14.262445000014168,31076,1.0,16.53034682080925,
